"n","grouped","project_name","project_name_en","road_length_km","start_year","end_year","funding_abbreviation","status_en","status","project_name_long","company","id","GEL","note","metadata","funding_fullname_en","companyBYcountry"
11,"E60 მაგისტრალი","E60 მაგისტრალის უბისას- შორაპანის მონაკვეთის მშენებლობა(F3)","Construction of Ubisa-Shorapani Road Section (F3) of E-60 Highway",13,2019,2023,"EIB","ongoing","მიმდინარე","E-60 ჩქაროსნული მაგისტრალის (F3) უბისა-შორაპანის კმ0+000 - კმ13+070 მონაკვეთის მშენებლობა","China Road and Bridge Corporation","GTC/CW/ICB-02",764422292.57,NA,NA,"European Investment Bank","China"
12,"E60 მაგისტრალი","E60 მაგისტრალის უბისას- შორაპანის მონაკვეთის მშენებლობა(F3)","Construction of Ubisa-Shorapani Road Section (F3) of E-60 Highway",13,2019,2023,"GOG","ongoing","მიმდინარე","E-60 ჩქაროსნული მაგისტრალის (F3) უბისა-შორაპანის კმ0+000 - კმ13+070 მონაკვეთის მშენებლობა","China Road and Bridge Corporation","GTC/CW/ICB-02",137550914,NA,NA,"Government of Georgia","China"
13,"E60 მაგისტრალი","E60 ჩქაროსნული მაგისტრალის შორაპანი-არგვეთას მონაკვეთის
(F4) მშენებლობა","Construction of Shorapani-Argveta Section (F4) of E-60 Highway",14.7,2019,2023,"ADB","ongoing","მიმდინარე","E-60 ავტომაგისტრალის (F4) შორაპარანი - არგვეთას მონაკვეთის სამშენებლო სამუშაოები","Guizhou Highwat Engineering Group Co Ltd and China National Technical Import & Export Corporation JV","SARP/CW/OCB-01",493903770.23,NA,NA,"Asian Development Bank","China"
14,"E60 მაგისტრალი","E60 ჩქაროსნული მაგისტრალის შორაპანი-არგვეთას მონაკვეთის
(F4) მშენებლობა","Construction of Shorapani-Argveta Section (F4) of E-60 Highway",14.7,2019,2023,"GOG","ongoing","მიმდინარე","E-60 ავტომაგისტრალის (F4) შორაპარანი - არგვეთას მონაკვეთის სამშენებლო სამუშაოები","Guizhou Highwat Engineering Group Co Ltd and China National Technical Import & Export Corporation JV","SARP/CW/OCB-01",88873539.78,NA,NA,"Government of Georgia","China"
15,"შიდასახელმწიფოებრივი მნიშვნელობის ბათუმი (ანგისა) - ახალციხე საავტომობილო გზა","ხულო-გოდერძის უღელტეხილი მონაკვეთის (ლოტი-1 - კმ5 - კმ29) რეაბილიტაცია - რეკონსტრუქცია","Rehabilitation-reconstruction of Batumi(Angisa)-Akhaltsikhe (შ1)secondary road, Khulo-Goderdzi Pass Section (Lot 1 – from km5+195 to km 29+732)",24.54,2021,2023,"KFAED","ongoing","მიმდინარე","შიდასახლმწიფოებრივი მნიშვნელობის ბათუმი (ანგისა) – ახალციხე საავტომობილო გზის  ხულო-გოდერძის უღელტეხილი მონაკვეთის (ლოტი-1 -კმ5-კმ29) რეაბილიტაცია - რეკონსტრუქცია","Sinohydro Corporation Limited","BARP/CW/ICB-01/01 L1",44095541.92,NA,NA,"Kuwait Fund for Arab Economic Development","China"
16,"შიდასახელმწიფოებრივი მნიშვნელობის ბათუმი (ანგისა) - ახალციხე საავტომობილო გზა","ხულო-გოდერძის უღელტეხილი მონაკვეთის (ლოტი-1 - კმ5 - კმ29) რეაბილიტაცია - რეკონსტრუქცია","Rehabilitation-reconstruction of Batumi(Angisa)-Akhaltsikhe (შ1)secondary road, Khulo-Goderdzi Pass Section (Lot 1 – from km5+195 to km 29+732)",24.54,2021,2023,"GOG","ongoing","მიმდინარე","შიდასახლმწიფოებრივი მნიშვნელობის ბათუმი (ანგისა) – ახალციხე საავტომობილო გზის  ხულო-გოდერძის უღელტეხილი მონაკვეთის (ლოტი-1 -კმ5-კმ29) რეაბილიტაცია - რეკონსტრუქცია","Sinohydro Corporation Limited","BARP/CW/ICB-01/01 L1",13082287.33,NA,NA,"Government of Georgia","China"
17,"ბაკურციხე-წნორი","ბაკურციხე-წნორი","Bakurtsikhe-Tsnori",16.7,2022,2024,"ADB","ongoing","მიმდინარე","ბაკურციხე-წნორის საავტომობილო გზის სამშენებლო სამუშაოები","China Road and Bridge Corporation","BBRP/CW/ICB-02",74459163.9,NA,NA,"Asian Development Bank","China"
18,"ბაკურციხე-წნორი","ბაკურციხე-წნორი","Bakurtsikhe-Tsnori",16.7,2022,2024,"GOG","ongoing","მიმდინარე","ბაკურციხე-წნორის საავტომობილო გზის სამშენებლო სამუშაოები","China Road and Bridge Corporation","BBRP/CW/ICB-02",13398256.63,NA,NA,"Government of Georgia","China"
19,"ფოთის ხიდი","მდ. რიონზე ფოთთან ხიდის და მისასვლელი გზების მშენებლობა","Bridge over Rioni river near Poti",2.5,2022,2024,"ADB","ongoing","მიმდინარე","E-70 ავტომაგისტრალის ფოთის ხიდის და მისასვლელი გზის მონაკვეთის სამშენებლო სამუშაოები","JV MIRBUD-CS","BBRP/CW/ICB-01R",51583590.48,NA,NA,"Asian Development Bank","Poland"
20,"ფოთის ხიდი","მდ. რიონზე ფოთთან ხიდის და მისასვლელი გზების მშენებლობა","Bridge over Rioni river near Poti",2.5,2022,2024,"GOG","ongoing","მიმდინარე","E-70 ავტომაგისტრალის ფოთის ხიდის და მისასვლელი გზის მონაკვეთის სამშენებლო სამუშაოები","JV MIRBUD-CS","BBRP/CW/ICB-01R",9282003.01,NA,NA,"Government of Georgia","Poland"
21,"თიანეთი-ახმეტა-ყვარელი-ნინიგორის გზის მონაკვეთი","პროექტირება – მშენებლობის განხორციელება თიანეთი-ახმეტა-ყვარელი-ნინიგორის გზის მონაკვეთის კმ1 - კმ30 რეაბილიტაცია შედეგსა და შესრულებაზე დაფუძნებული კონტრაქტის (OPRC) ფარგლებში","Design and Build of Tianeti-Akhmeta-Ninigori Road Section Rehabilitation from km1 to km30 under Output and Performance Based Contracting (OPBC) Methodology",30,2022,2023,"WB","ongoing","მიმდინარე","პროექტირება-მშენებლობის განხორციელება თიანეთი-ახმეტა-ყვარელი-ნინიგორის საავტომობილო გზის მონაკვეთის კმ 1-კმ 30 რეაბილიტაცია შედეგსა და შესრულებაზე დაფუძნებული კონტრაქტის (OPRC) ფარგლებში","Road Maintenance and Building Company Serpantini Ltd.","SRAMP/CW/NCB-13",12141872.73,NA,NA,"World Bank Group","Georgia"
22,"E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი","E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი კმ0 - კმ5
მონაკვეთის მშენებლობა ლოტი1","Construction works for the E-60 Highway Section from Zemo Osiauri to Chumateleti Lot1 (Km 0+000-Km5+800)",5.8,2017,2020,"EIB","Completed","დასრულებული","E-60 ჩქაროსნული მაგისტრალის ზემო ოსიაური-ჩუმათელეთის კმ0 -კმ5+800 მონაკვეთის (ლოტი 1) სამშენებლო სამუშაოები","Sinohydro Corporation Limited","EWHCIP-CW-ICB-01 LOT 1",113167260.31,NA,NA,"European Investment Bank","China"
23,"E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი","E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი კმ0 - კმ5
მონაკვეთის მშენებლობა ლოტი1","Construction works for the E-60 Highway Section from Zemo Osiauri to Chumateleti Lot1 (Km 0+000-Km5+800)",5.8,2017,2020,"WB","Completed","დასრულებული","E-60 ჩქაროსნული მაგისტრალის ზემო ოსიაური-ჩუმათელეთის კმ0 -კმ5+800 მონაკვეთის (ლოტი 1) სამშენებლო სამუშაოები","Sinohydro Corporation Limited","EWHCIP-CW-ICB-01 LOT 1",20363430.32,NA,NA,"World Bank Group","China"
24,"E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი","E60 ავტომაგისტრალის ზემო ოსიაური-ჩუმათელეთი კმ5 - კმ7
მონაკვეთის მშენებლობა ლოტი 2 A","Construction works for the E-60 Highway Section from Zemo Osiauri to Chumateleti Lot2A (Km5+800 km7+700)",1.9,2019,2020,"WB","Completed","დასრულებული","E-60 ავტომაგისტრალის ზემო-ოსიაური - ჩუმათელეთის კმ5+800 კმ7+700 მონაკვეთის (ლოტი 2a) სამშენებლო სამუშაოები","Sinohydro Corporation Limited","EWHCIP/CW/DC-01",50653768.63,NA,NA,"World Bank Group","China"
25,"ახმეტა-თელავი-ბაკურციხე","ახმეტა-თელავი-ბაკურციხე (გურჯაანი-ბაკურციხის შემოვლითი გზის მშენებლობა)","Akhmeta-Telavi-Bakurtsikhe (construction of Gurjaani-Bakurtsikhe bypass road)",15.5,2017,2021,"WB","Completed","დასრულებული","ახმეტა-თელავი-ბაკურციხე (გურჯაანი-ბაკურციხის შემოვლითი გზის მშენებლობა)","JV Company Black Sea Group and Vahagn & Samvel","SLRPIII/CW/ICB-01",30400000,NA,NA,"World Bank Group","Armenia & Georgia"
26,"ახმეტა-თელავი-ბაკურციხე","ახმეტა-თელავი-ბაკურციხე (გურჯაანი-ბაკურციხის შემოვლითი გზის მშენებლობა)","Akhmeta-Telavi-Bakurtsikhe (construction of Gurjaani-Bakurtsikhe bypass road)",15.5,2017,2021,"GOG","Completed","დასრულებული","ახმეტა-თელავი-ბაკურციხე (გურჯაანი-ბაკურციხის შემოვლითი გზის მშენებლობა)","JV Company Black Sea Group and Vahagn & Samvel","SLRPIII/CW/ICB-01",7600000,NA,NA,"Government of Georgia","Armenia & Georgia"
27,"ხიდისთავი - ატენი - ბოშურის გზის მონაკვეთი","პროექტირება – მშენებლობის განხორციელება ხიდისთავი - ატენი - ბოშურის გზის მონაკვეთის კმ12 - კმ22 რეაბილიტაცია შედეგსა და შესრულებაზე დაფუძნებული კონტრაქტის (OPRC) ფარგლებში","Design and Build of Khidistavi-Ateni-Boshuri Road Section Rehabilitation from km12,4 to km22,5 under Output-and Performance-Based Contracting (OPBC) Methodology",10.1,2017,2021,"WB","Completed","დასრულებული","პროექტირება-მშენებლობის განხორციელება ხიდისთავი-ატენი-ბოშურის გზის მონაკვეთის კმ12.4-კმ22.5 რეაბილიტაცია შედეგსა და შესრულებაზე დაფუძნებული კონტრაქტის (OPRC) ფარგლებში","AGT Menegment, Meslehet,Tikinti Xidmetleri MMC","SRAMP/CW/NCB-05",6155842.02,NA,NA,"World Bank Group","Azerbaijan"
28,"ჟინვალი-ბარისახო-შატილის საავტომობილო გზა","ჟინვალი-ბარისახო-შატილის საავტომობილო გზის კმ16 - კმ25 სარეაბილიტაციო სამუშაოები","Rehabilitation Works for Zhinvali – Barisakho - Shatili Road Section from km 16 – km 25.5 (Project Chainage 0+000 – 9+516)",9.52,2020,2022,"WB","Completed","დასრულებული","ჟინვალი-ბარისახო-შატილის ს/გზის კმ16-კმ25.5 მონაკვეთის რეაბილიტაცია","RTD LLC","SRAMP/CW/NCB-09",6339618.39,NA,NA,"World Bank Group","Georgia"
29,"ჟინვალი-ბარისახო-შატილის საავტომობილო გზა","ჟინვალი-ბარისახო-შატილის საავტომობილო გზის კმ25 – კმ32 სარეაბილიტაციო სამუშაოები","Rehabilitation Works for Zhinvali – Barisakho - Shatili Road Section from km25.5-km32 (project chainage 9+516 – 16+756)",7.24,2020,2022,"WB","Completed","დასრულებული","ჟინვალი-ბარისახო-შატილის ს/გზის კმ25.5-კმ32 სარეაბილიტაციო სამუშაოები","China Road and Bridge Corporation","SRAMP/CW/NCB-10",6997463.65,NA,NA,"World Bank Group","China"
30,"E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი კმ11 - კმ30 (ლოტი II) მონაკვეთის მშენებლობა","Construction of Samtredia-Grigoleti Road Section km 11+500-to km 30+000 (lot II)",18.5,2016,2020,"EIB","Completed","დასრულებული","სამტრედია–გრიგოლეთის საავტომობილო გზის კმ 11+500 – კმ 30+000 (ლოტი 2) მონაკვეთის მშენებლობა","Sinohydro Corporation Limited","EWHG/CW/ICB-02",215247777.31,NA,NA,"European Investment Bank","China"
31,"E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი კმ11 - კმ30 (ლოტი II) მონაკვეთის მშენებლობა","Construction of Samtredia-Grigoleti Road Section km 11+500-to km 30+000 (lot II)",18.5,2016,2020,"GOG","Completed","დასრულებული","სამტრედია–გრიგოლეთის საავტომობილო გზის კმ 11+500 – კმ 30+000 (ლოტი 2) მონაკვეთის მშენებლობა","Sinohydro Corporation Limited","EWHG/CW/ICB-02",38731900.93,NA,NA,"Government of Georgia","China"
32,"E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი კმ 30+000-კმ 42+000 (Lot III) მშენებლობა","Construction of Samtredia-Grigoleti Road Section Km 30+000 – Km 42+000 (Lot III)",12,2023,NA,"EIB","ongoing","მიმდინარე","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთის კმ 30+000-კმ 42+000 (Lot III) მშენებლობა","Hunan Road & Bridge Construction Group Co., LTD","EWHG/CW/ICB-03/01",275098769.6,NA,NA,"European Investment Bank","China"
33,"E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი კმ 30+000-კმ 42+000 (Lot III) მშენებლობა","Construction of Samtredia-Grigoleti Road Section Km 30+000 – Km 42+000 (Lot III)",12,2023,NA,"GOG","ongoing","მიმდინარე","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთის კმ 30+000-კმ 42+000 (Lot III) მშენებლობა","Hunan Road & Bridge Construction Group Co., LTD","EWHG/CW/ICB-03/01",49501548.51,NA,NA,"Government of Georgia","China"
34,"E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი კმ42 - კმ51 (ლოტი IV) მონაკვეთის მშენებლობა","Construction of Samtredia-Grigoleti Road Section Km 42+000 – Km 51+570 (Lot IV)",9.57,2015,2022,"EIB","Completed","დასრულებული","სამტრედია-გრიგოლეთის საავტომობილო გზის კმ42+000-კმ51+570 (ლოტი IV) მონაკვეთის მშენებლობა","China Railway 23rd Bureau Group","EWHG/CW/ICB-04",95943063.96,NA,NA,"European Investment Bank","China"
35,"E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი","E-60 ჩქაროსნული ავტომაგისტრალის სამტრედია-გრიგოლეთის მონაკვეთი კმ42 - კმ51 (ლოტი IV) მონაკვეთის მშენებლობა","Construction of Samtredia-Grigoleti Road Section Km 42+000 – Km 51+570 (Lot IV)",9.57,2015,2022,"GOG","Completed","დასრულებული","სამტრედია-გრიგოლეთის საავტომობილო გზის კმ42+000-კმ51+570 (ლოტი IV) მონაკვეთის მშენებლობა","China Railway 23rd Bureau Group","EWHG/CW/ICB-04",17264091.15,NA,NA,"Government of Georgia","China"
36,"ქვეშეთი-კობის საავტომობილო გზის მშენებლობა","ქვეშეთი-კობის საავტომობილო გზის მშენებლობა (გვირაბის ნაწილი)","Construction of Kvesheti-Kobi Road (tunnel section)",10,2020,2024,"ADB","ongoing","მიმდინარე","ქვეშეთი-კობის საავტომობილო გზის (გვირაბის მონაკვეთი) სამშენებლო სამუშაოები","China Railway Tunnel Group Co., LTD","KKRP/CW/CP-01R",596319928.09,NA,NA,"Asian Development Bank","China"
37,"ქვეშეთი-კობის საავტომობილო გზის მშენებლობა","ქვეშეთი-კობის საავტომობილო გზის მშენებლობა (გვირაბის
ნაწილი)","Construction of Kvesheti-Kobi Road (tunnel section)",10,2020,2024,"EBRD","ongoing","მიმდინარე","ქვეშეთი-კობის საავტომობილო გზის (გვირაბის მონაკვეთი) სამშენებლო სამუშაოები","China Railway Tunnel Group Co., LTD","KKRP/CW/CP-01R",173623637.6,NA,NA,"European Bank for Reconstruction and Development","China"
38,"ქვეშეთი-კობის საავტომობილო გზის მშენებლობა","ქვეშეთი-კობის საავტომობილო გზის მშენებლობა (გვირაბის
ნაწილი)","Construction of Kvesheti-Kobi Road (tunnel section)",10,2020,2024,"GOG","ongoing","მიმდინარე","ქვეშეთი-კობის საავტომობილო გზის (გვირაბის მონაკვეთი) სამშენებლო სამუშაოები","China Railway Tunnel Group Co., LTD","KKRP/CW/CP-01R",139080714.93,NA,NA,"Government of Georgia","China"
39,"ქვეშეთი-კობის საავტომობილო გზის მშენებლობა","ქვეშეთი-კობის საავტომობილო გზის მშენებლობა (გზის ნაწილი)","Construction of Kvesheti-Kobi Road (road section)",12.7,2020,2023,"ADB","ongoing","მიმდინარე","ქვეშეთი-კობის გზის (გზის მონაკვეთი) მშენებლობა","China Railway 23rd Bureau Group Co., Ltd","KKRP/CW/CP-02",259424058.4,NA,NA,"Asian Development Bank","China"
40,"ქვეშეთი-კობის საავტომობილო გზის მშენებლობა","ქვეშეთი-კობის საავტომობილო გზის მშენებლობა (გზის ნაწილი)","Construction of Kvesheti-Kobi Road (road section)",12.7,2020,2023,"GOG","ongoing","მიმდინარე","ქვეშეთი-კობის გზის (გზის მონაკვეთი) მშენებლობა","China Railway 23rd Bureau Group Co., Ltd","KKRP/CW/CP-02",56946744.52,NA,NA,"Government of Georgia","China"
41,"ბათუმის შემოვლითი გზა","ბათუმის შემოვლითი გზის კმ1 - კმ13 მშენებლობა","Construction of Batumi Bypass Road, Section km -1+000 – km13+325",14.32,2018,2023,"ADB","ongoing","მიმდინარე","ბათუმის შემოვლითი გზის მშენებლობა","JV POLAT YOL-MAPA","RCIP/CW/ICB-04",106470727.3,NA,NA,"Asian Development Bank","Turkey"
42,"ბათუმის შემოვლითი გზა","ბათუმის შემოვლითი გზის კმ1 - კმ13 მშენებლობა","Construction of Batumi Bypass Road, Section km -1+000 – km13+325",14.32,2018,2023,"AIIB","ongoing","მიმდინარე","ბათუმის შემოვლითი გზის მშენებლობა","JV POLAT YOL-MAPA","RCIP/CW/ICB-04",158222752.7,NA,NA,"Asian Infrastructure Investment Bank","Turkey"
43,"ბათუმის შემოვლითი გზა","ბათუმის შემოვლითი გზის კმ1 - კმ13 მშენებლობა","Construction of Batumi Bypass Road, Section km -1+000 – km13+325",14.32,2018,2023,"GOG","ongoing","მიმდინარე","ბათუმის შემოვლითი გზის მშენებლობა","JV POLAT YOL-MAPA","RCIP/CW/ICB-04",64937254.75,NA,NA,"Government of Georgia","Turkey"
44,"ბათუმი (ანგისა) - ახალციხე საავტომობილო გზა","შიდასახელმწიფოებრივი მნიშვნელობის ბათუმი (ანგისა) - ახალციხე საავტომობილო გზის გოდერძის უღელტეხილი- ზარზმა
მონაკვეთის (ლოტი-2 - კმ0 - კმ17) რეაბილიტაცია - რეკონსტრუქცია","Rehabilitation-reconstruction of Batumi(Angisa)-Akhaltsikhe (შ1)secondary road, Goderdzi Pass –Zarzma Section (Lot 2 – from km0+000 to km 17+380)",NA,NA,NA,"GOG","ongoing","მიმდინარე",NA,"Sinohydro Corporation Limited","BARP/CW/ICB-01/01 LII",38511473.12,NA,NA,"Government of Georgia","China"
45,"ქუთაისის შემოვლითი გზა","ქუთაისის შემოვლითი გზა-სამტრედიის მონაკვეთების 4-ზოლიან ავტომაგისტრალად მოდერნიზების სამუშაოები ლოტი 1 კმ 0+000 - კმ 6+000","Upgrading of Kutaisi Bypass-Samtredia road into 4-lane highway, km 00+000-km6+000 (Lot 1)",6,2018,2022,"GOG","Completed","დასრულებული",NA,"Company Black Sea Group LLC","NAT180016577    ე.ტ.N160-18",55918486.99,NA,NA,"Government of Georgia","Georgia"
46,"ქუთაისის შემოვლითი გზა","ქუთაისის შემოვლითი გზა-სამტრედიის მონაკვეთების 4-ზოლიან ავტომაგისტრალად მოდერნიზების სამუშაოები ლოტი 2 კმ 6+000 - კმ 13+400","Upgrading of Kutaisi Bypass-Samtredia road into 4-lane highway, km6+000-km13+400 (Lot 2)",7.4,2018,2022,"GOG","Completed","დასრულებული",NA,"Company Black Sea Group LLC","NAT180016578   ე.ტ.N161-18",55149999.96,NA,NA,"Government of Georgia","Georgia"
47,"ქუთაისის შემოვლითი გზა","ქუთაისის შემოვლითი გზა-სამტრედიის მონაკვეთების 4-ზოლიან ავტომაგისტრალად მოდერნიზების სამუშაოების ლოტი 4 კმ 30+000 - კმ 41+354","Upgrading of Kutaisi bypass-Samtredia road into 4-lane highway, km 30+000 - km41+354 (Lot 4)",11.35,2018,2022,"GOG","Completed","დასრულებული",NA,"Company Black Sea Group LLC","NAT180016580    ე.ტ.N162-18",42755757.94,NA,NA,"Government of Georgia","Georgia"
48,"ქუთაისის შემოვლითი გზა","ქუთაისის შემოვლითი გზა-სამტრედიის მონაკვეთების 4-ზოლიან ავტომაგისტრალად მოდერნიზების სამუშაოების ლოტი 3 კმ 13+400 - კმ 30+000","Upgrading of Kutaisi Bypass-Samtredia road into 4-lane highway, km13+400 - km30+000 (Lot 3)",17.5,2018,2023,"GOG","Completed","დასრულებული",NA,"Akkord Georgia","NAT180016579    ე.ტ.N166-18",46430364.95,NA,NA,"Government of Georgia","Georgia"
